State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kentucky,Harrison County,1127,556,3088,1545,1407,662,2085,1062,2123,1071,5426,2722,3084,1642,346,246,6,3
Kentucky,Hart County,1318,657,3594,1789,1572,745,2130,1037,2104,1059,5186,2576,3074,1602,307,221,3,1
Kentucky,Henderson County,2582,1242,7711,3805,3371,1640,5219,2683,5546,2910,12104,6260,7419,4069,833,558,8,6
Kentucky,Henry County,867,414,2709,1322,1177,520,1716,862,1873,962,4384,2252,2705,1422,247,157,0,0
Kentucky,Hickman County,266,138,725,362,299,133,431,233,415,215,1244,648,990,541,150,87,1,1
Kentucky,Hopkins County,2648,1295,7589,3770,3356,1646,5409,2689,5428,2768,12140,6233,7927,4298,920,586,6,6
Kentucky,Jackson County,796,369,2165,1041,992,463,1385,734,1604,810,3632,1838,2183,1144,193,112,5,5
Kentucky,Jefferson County,45270,22219,123323,60288,71206,35836,112306,57004,100782,51058,198908,102683,116019,64487,15025,9950,130,95
Kentucky,Jessamine County,3370,1579,9917,4840,4862,2443,6366,3310,6721,3440,13318,6990,7556,4072,876,513,5,5
Kentucky,Johnson County,1180,573,3749,1829,1675,814,2418,1218,2969,1522,6382,3344,3960,2110,347,237,0,0
Kentucky,Kenton County,10729,5255,29392,14366,14138,6802,24451,12286,22012,11084,42661,21711,23111,12407,2548,1707,22,16
Kentucky,Knott County,693,330,2330,1128,1308,590,1409,738,1658,860,4122,2094,2532,1349,199,127,0,0
Kentucky,Knox County,1758,886,5252,2597,2513,1201,3524,1837,3500,1796,8070,4175,5076,2813,494,328,6,6
Kentucky,Larue County,883,439,2646,1249,1151,562,1620,788,1764,882,4047,2057,2471,1316,282,194,3,1
Kentucky,Laurel County,3758,1860,10873,5314,5095,2469,7495,3767,7973,4055,16829,8644,9555,5046,1032,644,3,0
